Year,Theme_Park,GuestPassedAway,Hospital,PreExisting,LoseConsciousness,ChestPain,Seizure,PhysicalPain,MotionSickness
2022,"Hollywood Studios",0,0,3,1,0,4,1,0
2014,"Magic Kingdom",1,1,4,3,4,2,8,3
2009,"Magic Kingdom",0,0,0,1,1,1,5,1
2022,"Animal Kingdom",0,0,5,1,0,1,0,4
2021,"Animal Kingdom",0,0,2,1,0,1,0,1
2018,"Animal Kingdom",0,0,4,0,1,1,0,2
2019,"Animal Kingdom",0,0,2,0,1,1,1,3
2017,"Animal Kingdom",0,0,5,2,1,1,2,3
2004,"Universal Studios",1,0,0,0,0,0,1,0
2012,"Magic Kingdom",1,0,2,1,1,0,6,3
2004,"Magic Kingdom",1,1,0,1,0,0,0,0
2003,"Magic Kingdom",0,0,0,0,0,0,4,0
2008,"Magic Kingdom",0,0,0,1,1,4,5,3
2017,"Magic Kingdom",1,1,7,3,2,2,3,4
2015,"Magic Kingdom",1,0,6,1,3,2,5,4
2006,"Magic Kingdom",2,2,0,1,2,1,4,3
2019,"Magic Kingdom",0,0,4,1,0,2,3,2
2018,"Magic Kingdom",0,0,4,0,1,0,1,3
2013,"Magic Kingdom",0,1,2,1,3,1,2,4
2010,"Magic Kingdom",1,0,1,1,0,0,4,1
2015,"Islands of Adventure",0,0,1,1,0,0,1,4
2010,"Islands of Adventure",0,0,0,0,0,0,1,0
2007,"Islands of Adventure",0,0,0,0,0,0,1,0
2017,"Islands of Adventure",0,0,0,1,1,0,1,3
2022,"Islands of Adventure",0,0,0,1,0,1,1,1
2011,"Islands of Adventure",0,0,0,2,1,0,0,2
2001,"Islands of Adventure",0,0,0,0,0,0,1,0
2012,"Islands of Adventure",0,0,0,0,1,0,1,4
2019,"Blizzard Beach",0,0,0,0,0,0,0,0
2017,"Blizzard Beach",0,0,1,0,0,0,2,0
2013,"Blizzard Beach",0,0,0,0,0,0,1,0
2011,"Blizzard Beach",0,0,0,1,0,1,0,0
2010,"Blizzard Beach",0,0,0,0,0,0,1,0
2004,"Blizzard Beach",0,1,0,0,0,2,2,1
2015,"Blizzard Beach",0,0,0,0,0,0,1,0
2008,"Blizzard Beach",0,0,0,0,0,0,2,0
2007,"Blizzard Beach",1,0,0,1,0,0,1,0
2012,"Blizzard Beach",0,0,1,0,1,1,0,0
2015,"Universal Studios",0,0,2,0,0,0,0,3
2019,"Universal Studios",0,0,1,0,1,0,1,1
2018,"Universal Studios",0,0,0,0,0,0,0,2
2003,"Animal Kingdom",0,0,0,1,1,0,0,0
